    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          19.0          305.0
1    200.0         204.0          120.0
2    300.0         198.0          126.0
3    400.0         167.0          157.0
4    500.0         133.0          191.0
5    600.0         185.0          139.0
6    700.0         189.0          135.0
7    800.0         187.0          137.0
8    900.0         201.0          123.0
9   1000.0         192.0          132.0
10  1100.0         193.0          131.0
11  1200.0         146.0          178.0
12  1300.0         221.0          103.0
13  1400.0         220.0          104.0
14  1500.0         187.0          137.0
15  1600.0         186.0          138.0
16  1700.0         202.0          122.0
17  1800.0         199.0          125.0
18  1900.0         214.0          110.0
19  2000.0         205.0          119.0
20  2100.0         205.0          119.0
21  2200.0         211.0          113.0
22  2300.0         200.0          124.0
23  2400.0         214.0          110.0
24  2500.0         206.0          118.0
25  2600.0          24.0          300.0
26  2700.0         199.0          125.0
27  2800.0         191.0          133.0
