    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          99.0          225.0
1    200.0         131.0          193.0
2    300.0         118.0          206.0
3    400.0         141.0          183.0
4    500.0         140.0          184.0
5    600.0         138.0          186.0
6    700.0          88.0          236.0
7    800.0         117.0          207.0
8    900.0         124.0          200.0
9   1000.0         113.0          211.0
10  1100.0         111.0          213.0
11  1200.0         103.0          221.0
12  1300.0         132.0          192.0
13  1400.0          95.0          229.0
14  1500.0          96.0          228.0
15  1600.0         119.0          205.0
16  1700.0         117.0          207.0
17  1800.0          94.0          230.0
18  1900.0         118.0          206.0
