    dogru_tahmin  yanlis_tahmin
0           63.0          261.0
1           10.0          314.0
2           83.0          241.0
3          141.0          183.0
4           89.0          235.0
5           68.0          256.0
6          107.0          217.0
7          137.0          187.0
8          149.0          175.0
9          156.0          168.0
10         185.0          139.0
11         201.0          123.0
12         207.0          117.0
13         210.0          114.0
14         211.0          113.0
15         212.0          112.0
16         209.0          115.0
17         164.0          160.0
18         186.0          138.0
19         172.0          152.0
20         158.0          166.0
21         158.0          166.0
22         158.0          166.0
23         164.0          160.0
24         159.0          165.0
