    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          63.0          261.0
1    200.0         149.0          175.0
2    300.0         144.0          180.0
3    400.0         114.0          210.0
4    500.0         165.0          159.0
5    600.0         121.0          203.0
6    700.0         125.0          199.0
7    800.0         123.0          201.0
8    900.0         120.0          204.0
9   1000.0         118.0          206.0
10  1100.0         116.0          208.0
11  1200.0         118.0          206.0
12  1300.0         118.0          206.0
13  1400.0         120.0          204.0
14  1500.0         133.0          191.0
15  1600.0         120.0          204.0
16  1700.0         132.0          192.0
17  1800.0         147.0          177.0
18  1900.0         146.0          178.0
19  2000.0         149.0          175.0
20  2100.0         146.0          178.0
21  2200.0         142.0          182.0
22  2300.0         148.0          176.0
23  2400.0         145.0          179.0
24  2500.0         147.0          177.0
