    dogru_tahmin  yanlis_tahmin
0           51.0          273.0
1           77.0          247.0
2          129.0          195.0
3           65.0          259.0
4           26.0          298.0
5          113.0          211.0
6          127.0          197.0
7          121.0          203.0
8           93.0          231.0
9           74.0          250.0
10         101.0          223.0
11          97.0          227.0
12         104.0          220.0
13         118.0          206.0
14         128.0          196.0
15         142.0          182.0
16         154.0          170.0
17         201.0          123.0
18         187.0          137.0
19         194.0          130.0
20         196.0          128.0
21         204.0          120.0
22         183.0          141.0
23         171.0          153.0
24         165.0          159.0
