    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          10.0          314.0
1    200.0          37.0          287.0
2    300.0         162.0          162.0
3    400.0         114.0          210.0
4    500.0         101.0          223.0
5    600.0         101.0          223.0
6    700.0          95.0          229.0
7    800.0          92.0          232.0
8    900.0          87.0          237.0
9   1000.0          73.0          251.0
10  1100.0          84.0          240.0
11  1200.0          72.0          252.0
12  1300.0          68.0          256.0
13  1400.0          63.0          261.0
14  1500.0          63.0          261.0
15  1600.0          59.0          265.0
16  1700.0          62.0          262.0
17  1800.0          66.0          258.0
18  1900.0          68.0          256.0
19  2000.0          69.0          255.0
20  2100.0          72.0          252.0
21  2200.0          73.0          251.0
22  2300.0          56.0          268.0
23  2400.0          53.0          271.0
24  2500.0          49.0          275.0
