    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         138.0          186.0
1    200.0         151.0          173.0
2    300.0         165.0          159.0
3    400.0         157.0          167.0
4    500.0         153.0          171.0
5    600.0         153.0          171.0
6    700.0         157.0          167.0
7    800.0         162.0          162.0
8    900.0         160.0          164.0
9   1000.0         161.0          163.0
10  1100.0         162.0          162.0
11  1200.0         151.0          173.0
12  1300.0         167.0          157.0
13  1400.0         156.0          168.0
14  1500.0         168.0          156.0
15  1600.0         162.0          162.0
16  1700.0         160.0          164.0
17  1800.0         167.0          157.0
18  1900.0         157.0          167.0
19  2000.0         163.0          161.0
20  2100.0         173.0          151.0
21  2200.0         171.0          153.0
22  2300.0         170.0          154.0
23  2400.0         159.0          165.0
24  2500.0         144.0          180.0
