    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         145.0          179.0
1    200.0         158.0          166.0
2    300.0         174.0          150.0
3    400.0         167.0          157.0
4    500.0         159.0          165.0
5    600.0         158.0          166.0
6    700.0         160.0          164.0
7    800.0         170.0          154.0
8    900.0         169.0          155.0
9   1000.0         160.0          164.0
10  1100.0         169.0          155.0
11  1200.0         161.0          163.0
12  1300.0         162.0          162.0
13  1400.0         169.0          155.0
14  1500.0         163.0          161.0
15  1600.0         172.0          152.0
16  1700.0         169.0          155.0
17  1800.0         176.0          148.0
18  1900.0         176.0          148.0
19  2000.0         179.0          145.0
20  2100.0         179.0          145.0
21  2200.0         182.0          142.0
22  2300.0         174.0          150.0
23  2400.0         179.0          145.0
24  2500.0         180.0          144.0
25  2600.0         173.0          151.0
26  2700.0         172.0          152.0
27  2800.0         180.0          144.0
28  2900.0         176.0          148.0
29  3000.0         176.0          148.0
30  3100.0         164.0          160.0
31  3200.0         170.0          154.0
32  3300.0         173.0          151.0
33  3400.0         166.0          158.0
34  3500.0         158.0          166.0
35  3600.0         167.0          157.0
36  3700.0         167.0          157.0
37  3800.0         164.0          160.0
