    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         170.0          154.0
1    200.0         119.0          205.0
2    300.0         122.0          202.0
3    400.0         137.0          187.0
4    500.0         113.0          211.0
5    600.0          80.0          244.0
6    700.0          43.0          281.0
7    800.0          56.0          268.0
8    900.0          51.0          273.0
9   1000.0          42.0          282.0
10  1100.0          71.0          253.0
11  1200.0          52.0          272.0
12  1300.0          61.0          263.0
13  1400.0          47.0          277.0
14  1500.0          73.0          251.0
15  1600.0         109.0          215.0
16  1700.0          91.0          233.0
17  1800.0         141.0          183.0
18  1900.0         137.0          187.0
19  2000.0         123.0          201.0
20  2100.0         145.0          179.0
21  2200.0         139.0          185.0
22  2300.0         146.0          178.0
23  2400.0         139.0          185.0
24  2500.0         129.0          195.0
