    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          27.0          297.0
1    200.0          15.0          309.0
2    300.0          15.0          309.0
3    400.0          14.0          310.0
4    500.0          10.0          314.0
5    600.0          19.0          305.0
6    700.0           7.0          317.0
7    800.0           6.0          318.0
8    900.0          49.0          275.0
9   1000.0          54.0          270.0
10  1100.0          43.0          281.0
11  1200.0          49.0          275.0
12  1300.0         141.0          183.0
13  1400.0         104.0          220.0
14  1500.0         113.0          211.0
15  1600.0         141.0          183.0
16  1700.0         169.0          155.0
17  1800.0         144.0          180.0
18  1900.0         132.0          192.0
19  2000.0         185.0          139.0
20  2100.0         178.0          146.0
21  2200.0         183.0          141.0
22  2300.0         164.0          160.0
23  2400.0         196.0          128.0
24  2500.0         198.0          126.0
25  2600.0         151.0          173.0
26  2700.0         207.0          117.0
27  2800.0         182.0          142.0
28  2900.0         194.0          130.0
29  3000.0         203.0          121.0
30  3100.0         167.0          157.0
31  3200.0         186.0          138.0
32  3300.0         181.0          143.0
33  3400.0         210.0          114.0
34  3500.0         191.0          133.0
35  3600.0         179.0          145.0
36  3700.0         214.0          110.0
