    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          36.0          288.0
1    200.0          85.0          239.0
2    300.0          35.0          289.0
3    400.0          75.0          249.0
4    500.0          77.0          247.0
5    600.0          66.0          258.0
6    700.0          71.0          253.0
7    800.0         104.0          220.0
8    900.0         105.0          219.0
9   1000.0         138.0          186.0
10  1100.0          84.0          240.0
11  1200.0         194.0          130.0
12  1300.0         192.0          132.0
13  1400.0         196.0          128.0
14  1500.0         182.0          142.0
15  1600.0         204.0          120.0
16  1700.0         171.0          153.0
17  1800.0         162.0          162.0
18  1900.0         183.0          141.0
19  2000.0         187.0          137.0
20  2100.0         179.0          145.0
21  2200.0         203.0          121.0
22  2300.0         187.0          137.0
23  2400.0         116.0          208.0
24  2500.0         199.0          125.0
25  2600.0         123.0          201.0
26  2700.0         159.0          165.0
27  2800.0         157.0          167.0
28  2900.0         154.0          170.0
29  3000.0         149.0          175.0
30  3100.0         213.0          111.0
31  3200.0         164.0          160.0
32  3300.0         188.0          136.0
33  3400.0         219.0          105.0
34  3500.0         215.0          109.0
35  3600.0         126.0          198.0
36  3700.0         191.0          133.0
37  3800.0         207.0          117.0
38  3900.0         203.0          121.0
39  4000.0         199.0          125.0
40  4100.0         205.0          119.0
41  4200.0         225.0           99.0
42  4300.0         190.0          134.0
43  4400.0         205.0          119.0
44  4500.0         197.0          127.0
45  4600.0         154.0          170.0
46  4700.0         194.0          130.0
47  4800.0         204.0          120.0
48  4900.0         199.0          125.0
49  5000.0         220.0          104.0
