    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          75.0          249.0
1    200.0          69.0          255.0
2    300.0          28.0          296.0
3    400.0          15.0          309.0
4    500.0          19.0          305.0
5    600.0          20.0          304.0
6    700.0          19.0          305.0
7    800.0          17.0          307.0
8    900.0          13.0          311.0
9   1000.0          13.0          311.0
10  1100.0          16.0          308.0
11  1200.0          22.0          302.0
12  1300.0          28.0          296.0
13  1400.0          14.0          310.0
14  1500.0          14.0          310.0
15  1600.0          17.0          307.0
16  1700.0          19.0          305.0
17  1800.0          15.0          309.0
18  1900.0          30.0          294.0
19  2000.0          17.0          307.0
20  2100.0          14.0          310.0
21  2200.0          13.0          311.0
22  2300.0          13.0          311.0
23  2400.0          34.0          290.0
24  2500.0          32.0          292.0
25  2600.0          39.0          285.0
26  2700.0          58.0          266.0
27  2800.0          94.0          230.0
28  2900.0          90.0          234.0
29  3000.0          68.0          256.0
30  3100.0          96.0          228.0
31  3200.0          62.0          262.0
32  3300.0         212.0          112.0
33  3400.0         114.0          210.0
34  3500.0         169.0          155.0
35  3600.0         176.0          148.0
36  3700.0         109.0          215.0
37  3800.0          85.0          239.0
38  3900.0          88.0          236.0
39  4000.0          78.0          246.0
