    epochs  dogru_tahmin  yanlis_tahmin
0    100.0           8.0          281.0
1    200.0          17.0          272.0
2    300.0          28.0          261.0
3    400.0          71.0          218.0
4    500.0          87.0          202.0
5    600.0          87.0          202.0
6    700.0          71.0          218.0
7    800.0         122.0          167.0
8    900.0         101.0          188.0
9   1000.0          32.0          257.0
10  1100.0         160.0          129.0
11  1200.0         146.0          143.0
12  1300.0         128.0          161.0
13  1400.0         115.0          174.0
14  1500.0          85.0          204.0
15  1600.0         125.0          164.0
16  1700.0         120.0          169.0
17  1800.0          95.0          194.0
18  1900.0         163.0          126.0
19  2000.0         103.0          186.0
20  2100.0         121.0          168.0
21  2200.0         114.0          175.0
22  2300.0         129.0          160.0
23  2400.0         110.0          179.0
24  2500.0         100.0          189.0
25  2600.0         117.0          172.0
26  2700.0         132.0          157.0
27  2800.0          99.0          190.0
28  2900.0          82.0          207.0
29  3000.0         135.0          154.0
30  3100.0         123.0          166.0
31  3200.0         106.0          183.0
32  3300.0         125.0          164.0
33  3400.0         102.0          187.0
34  3500.0         177.0          112.0
35  3600.0         120.0          169.0
