    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          65.0          259.0
1    200.0          31.0          293.0
2    300.0          21.0          303.0
3    400.0          19.0          305.0
4    500.0          17.0          307.0
5    600.0          18.0          306.0
6    700.0          33.0          291.0
7    800.0          28.0          296.0
8    900.0          26.0          298.0
9   1000.0          22.0          302.0
10  1100.0          20.0          304.0
11  1200.0          36.0          288.0
12  1300.0         107.0          217.0
13  1400.0         138.0          186.0
14  1500.0         146.0          178.0
15  1600.0         150.0          174.0
16  1700.0         147.0          177.0
17  1800.0         135.0          189.0
18  1900.0         123.0          201.0
19  2000.0         122.0          202.0
20  2100.0         121.0          203.0
21  2200.0         116.0          208.0
22  2300.0         114.0          210.0
