    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          205.0            84.0          198.0            91.0     201.5
1    200.0          229.0            60.0          176.0           113.0     202.5
2    300.0          232.0            57.0          153.0           136.0     192.5
3    400.0          229.0            60.0          192.0            97.0     210.5
4    500.0          217.0            72.0          152.0           137.0     184.5
5    600.0          212.0            77.0          197.0            92.0     204.5
6    700.0          212.0            77.0          177.0           112.0     194.5
7    800.0          231.0            58.0          144.0           145.0     187.5
8    900.0          219.0            70.0          159.0           130.0     189.0
9   1000.0          220.0            69.0          160.0           129.0     190.0
10  1100.0          204.0            85.0          212.0            77.0     208.0
11  1200.0          202.0            87.0          143.0           146.0     172.5
12  1300.0          215.0            74.0          182.0           107.0     198.5
13  1400.0          212.0            77.0          181.0           108.0     196.5
14  1500.0          205.0            84.0          207.0            82.0     206.0
15  1600.0          202.0            87.0          150.0           139.0     176.0
16  1700.0          217.0            72.0          127.0           162.0     172.0
17  1800.0          204.0            85.0          208.0            81.0     206.0
18  1900.0          211.0            78.0          123.0           166.0     167.0
19  2000.0          210.0            79.0          184.0           105.0     197.0
20  2100.0          217.0            72.0          170.0           119.0     193.5
21  2200.0          204.0            85.0          181.0           108.0     192.5
22  2300.0          207.0            82.0          224.0            65.0     215.5
23  2400.0          189.0           100.0          155.0           134.0     172.0
24  2500.0          207.0            82.0          134.0           155.0     170.5
25  2600.0          208.0            81.0          170.0           119.0     189.0
26  2700.0          200.0            89.0          175.0           114.0     187.5
27  2800.0          199.0            90.0          180.0           109.0     189.5
28  2900.0          191.0            98.0          201.0            88.0     196.0
29  3000.0          187.0           102.0          143.0           146.0     165.0
