    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          234.0            55.0          276.0            13.0     255.0
1    200.0          231.0            58.0          278.0            11.0     254.5
2    300.0          231.0            58.0          252.0            37.0     241.5
3    400.0          224.0            65.0          248.0            41.0     236.0
4    500.0          232.0            57.0          223.0            66.0     227.5
5    600.0          220.0            69.0          238.0            51.0     229.0
6    700.0          214.0            75.0          202.0            87.0     208.0
7    800.0          221.0            68.0          227.0            62.0     224.0
8    900.0          207.0            82.0          218.0            71.0     212.5
9   1000.0          207.0            82.0          201.0            88.0     204.0
10  1100.0          227.0            62.0          185.0           104.0     206.0
11  1200.0          223.0            66.0          175.0           114.0     199.0
12  1300.0          216.0            73.0          217.0            72.0     216.5
13  1400.0          226.0            63.0          215.0            74.0     220.5
14  1500.0          228.0            61.0          186.0           103.0     207.0
15  1600.0          218.0            71.0          185.0           104.0     201.5
16  1700.0          227.0            62.0          247.0            42.0     237.0
17  1800.0          225.0            64.0          158.0           131.0     191.5
18  1900.0          207.0            82.0          215.0            74.0     211.0
19  2000.0          207.0            82.0          157.0           132.0     182.0
20  2100.0          223.0            66.0          212.0            77.0     217.5
21  2200.0          209.0            80.0          191.0            98.0     200.0
22  2300.0          216.0            73.0          170.0           119.0     193.0
23  2400.0          176.0           113.0          143.0           146.0     159.5
24  2500.0          209.0            80.0          216.0            73.0     212.5
25  2600.0          192.0            97.0          204.0            85.0     198.0
26  2700.0          204.0            85.0          184.0           105.0     194.0
27  2800.0          198.0            91.0          161.0           128.0     179.5
28  2900.0          198.0            91.0          229.0            60.0     213.5
29  3000.0          208.0            81.0          153.0           136.0     180.5
30  3100.0          216.0            73.0          105.0           184.0     160.5
31  3200.0          215.0            74.0          132.0           157.0     173.5
32  3300.0          205.0            84.0           92.0           197.0     148.5
33  3400.0          206.0            83.0           86.0           203.0     146.0
34  3500.0          213.0            76.0          110.0           179.0     161.5
35  3600.0          207.0            82.0           74.0           215.0     140.5
36  3700.0          217.0            72.0           83.0           206.0     150.0
37  3800.0          189.0           100.0          121.0           168.0     155.0
38  3900.0          209.0            80.0           37.0           252.0     123.0
39  4000.0          188.0           101.0          156.0           133.0     172.0
