    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          218.0            71.0          147.0           142.0     182.5
1    200.0          226.0            63.0          180.0           109.0     203.0
2    300.0          215.0            74.0          179.0           110.0     197.0
3    400.0          232.0            57.0          212.0            77.0     222.0
4    500.0          227.0            62.0          189.0           100.0     208.0
5    600.0          227.0            62.0          188.0           101.0     207.5
6    700.0          224.0            65.0          190.0            99.0     207.0
7    800.0          239.0            50.0          222.0            67.0     230.5
8    900.0          238.0            51.0          217.0            72.0     227.5
9   1000.0          228.0            61.0          205.0            84.0     216.5
10  1100.0          232.0            57.0          207.0            82.0     219.5
11  1200.0          222.0            67.0          203.0            86.0     212.5
12  1300.0          236.0            53.0          222.0            67.0     229.0
13  1400.0          221.0            68.0          196.0            93.0     208.5
14  1500.0          208.0            81.0          178.0           111.0     193.0
15  1600.0          227.0            62.0          224.0            65.0     225.5
16  1700.0          221.0            68.0          234.0            55.0     227.5
17  1800.0          210.0            79.0          199.0            90.0     204.5
18  1900.0          215.0            74.0          186.0           103.0     200.5
19  2000.0          228.0            61.0          203.0            86.0     215.5
20  2100.0          225.0            64.0          227.0            62.0     226.0
21  2200.0          226.0            63.0          233.0            56.0     229.5
22  2300.0          215.0            74.0          171.0           118.0     193.0
23  2400.0          229.0            60.0          252.0            37.0     240.5
24  2500.0          221.0            68.0          194.0            95.0     207.5
25  2600.0          222.0            67.0          236.0            53.0     229.0
26  2700.0          232.0            57.0          238.0            51.0     235.0
27  2800.0          222.0            67.0          194.0            95.0     208.0
28  2900.0          226.0            63.0          206.0            83.0     216.0
29  3000.0          216.0            73.0          190.0            99.0     203.0
30  3100.0          203.0            86.0          177.0           112.0     190.0
31  3200.0          205.0            84.0          199.0            90.0     202.0
32  3300.0          225.0            64.0          214.0            75.0     219.5
33  3400.0          229.0            60.0          178.0           111.0     203.5
34  3500.0          228.0            61.0          223.0            66.0     225.5
35  3600.0          199.0            90.0          185.0           104.0     192.0
36  3700.0          217.0            72.0          185.0           104.0     201.0
37  3800.0          232.0            57.0          228.0            61.0     230.0
38  3900.0          183.0           106.0          121.0           168.0     152.0
39  4000.0          233.0            56.0          198.0            91.0     215.5
