     epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0     100.0          241.0            48.0          220.0            69.0     230.5
1     200.0          226.0            63.0          236.0            53.0     231.0
2     300.0          241.0            48.0          166.0           123.0     203.5
3     400.0          242.0            47.0          162.0           127.0     202.0
4     500.0          182.0           107.0          218.0            71.0     200.0
5     600.0          213.0            76.0          218.0            71.0     215.5
6     700.0          182.0           107.0          213.0            76.0     197.5
7     800.0          185.0           104.0          244.0            45.0     214.5
8     900.0          186.0           103.0          103.0           186.0     144.5
9    1000.0          207.0            82.0          191.0            98.0     199.0
10   1100.0          198.0            91.0          159.0           130.0     178.5
11   1200.0          211.0            78.0          265.0            24.0     238.0
12   1300.0          222.0            67.0          192.0            97.0     207.0
13   1400.0          175.0           114.0          211.0            78.0     193.0
14   1500.0          206.0            83.0          167.0           122.0     186.5
15   1600.0          223.0            66.0          215.0            74.0     219.0
16   1700.0          224.0            65.0          165.0           124.0     194.5
17   1800.0          221.0            68.0          177.0           112.0     199.0
18   1900.0          180.0           109.0          199.0            90.0     189.5
19   2000.0          227.0            62.0          157.0           132.0     192.0
20   2100.0          216.0            73.0          162.0           127.0     189.0
21   2200.0          224.0            65.0          185.0           104.0     204.5
22   2300.0          216.0            73.0          172.0           117.0     194.0
23   2400.0          204.0            85.0          179.0           110.0     191.5
24   2500.0          226.0            63.0          176.0           113.0     201.0
25   2600.0          220.0            69.0          198.0            91.0     209.0
26   2700.0          216.0            73.0          169.0           120.0     192.5
27   2800.0          215.0            74.0          227.0            62.0     221.0
28   2900.0          215.0            74.0          200.0            89.0     207.5
29   3000.0          215.0            74.0          212.0            77.0     213.5
30   3100.0          207.0            82.0          191.0            98.0     199.0
31   3200.0          211.0            78.0          214.0            75.0     212.5
32   3300.0          213.0            76.0          225.0            64.0     219.0
33   3400.0          212.0            77.0          214.0            75.0     213.0
34   3500.0          188.0           101.0          256.0            33.0     222.0
35   3600.0          204.0            85.0          215.0            74.0     209.5
36   3700.0          190.0            99.0          228.0            61.0     209.0
37   3800.0          185.0           104.0          254.0            35.0     219.5
38   3900.0          177.0           112.0          255.0            34.0     216.0
39   4000.0          165.0           124.0          239.0            50.0     202.0
40   4100.0          209.0            80.0          264.0            25.0     236.5
41   4200.0          184.0           105.0          255.0            34.0     219.5
42   4300.0          188.0           101.0          256.0            33.0     222.0
43   4400.0          157.0           132.0          212.0            77.0     184.5
44   4500.0          195.0            94.0          260.0            29.0     227.5
45   4600.0          186.0           103.0          246.0            43.0     216.0
46   4700.0          191.0            98.0          254.0            35.0     222.5
47   4800.0          206.0            83.0          255.0            34.0     230.5
48   4900.0          197.0            92.0          249.0            40.0     223.0
49   5000.0          193.0            96.0          248.0            41.0     220.5
50   5100.0          211.0            78.0          273.0            16.0     242.0
51   5200.0          222.0            67.0          265.0            24.0     243.5
52   5300.0          215.0            74.0          258.0            31.0     236.5
53   5400.0          201.0            88.0          230.0            59.0     215.5
54   5500.0          184.0           105.0          239.0            50.0     211.5
55   5600.0          211.0            78.0          241.0            48.0     226.0
56   5700.0          207.0            82.0          255.0            34.0     231.0
57   5800.0          163.0           126.0          161.0           128.0     162.0
58   5900.0          217.0            72.0          273.0            16.0     245.0
59   6000.0          194.0            95.0          237.0            52.0     215.5
60   6100.0          209.0            80.0          257.0            32.0     233.0
61   6200.0          211.0            78.0          262.0            27.0     236.5
62   6300.0          186.0           103.0          226.0            63.0     206.0
63   6400.0          197.0            92.0          243.0            46.0     220.0
64   6500.0          210.0            79.0          255.0            34.0     232.5
65   6600.0          190.0            99.0          231.0            58.0     210.5
66   6700.0          195.0            94.0          250.0            39.0     222.5
67   6800.0          190.0            99.0          219.0            70.0     204.5
68   6900.0          215.0            74.0          258.0            31.0     236.5
69   7000.0          229.0            60.0          270.0            19.0     249.5
70   7100.0          188.0           101.0          225.0            64.0     206.5
71   7200.0          176.0           113.0          223.0            66.0     199.5
72   7300.0          213.0            76.0          254.0            35.0     233.5
73   7400.0          192.0            97.0          260.0            29.0     226.0
74   7500.0          194.0            95.0          240.0            49.0     217.0
75   7600.0          211.0            78.0          258.0            31.0     234.5
76   7700.0          219.0            70.0          244.0            45.0     231.5
77   7800.0          175.0           114.0          224.0            65.0     199.5
78   7900.0          183.0           106.0          237.0            52.0     210.0
79   8000.0          211.0            78.0          251.0            38.0     231.0
80   8100.0          207.0            82.0          262.0            27.0     234.5
81   8200.0          194.0            95.0          236.0            53.0     215.0
82   8300.0          203.0            86.0          256.0            33.0     229.5
83   8400.0          179.0           110.0          224.0            65.0     201.5
84   8500.0          193.0            96.0          242.0            47.0     217.5
85   8600.0          185.0           104.0          241.0            48.0     213.0
86   8700.0          209.0            80.0          260.0            29.0     234.5
87   8800.0          187.0           102.0          243.0            46.0     215.0
88   8900.0          204.0            85.0          252.0            37.0     228.0
89   9000.0          198.0            91.0          248.0            41.0     223.0
90   9100.0          208.0            81.0          267.0            22.0     237.5
91   9200.0          217.0            72.0          262.0            27.0     239.5
92   9300.0          175.0           114.0          237.0            52.0     206.0
93   9400.0          211.0            78.0          253.0            36.0     232.0
94   9500.0          206.0            83.0          255.0            34.0     230.5
95   9600.0          199.0            90.0          255.0            34.0     227.0
96   9700.0          203.0            86.0          252.0            37.0     227.5
97   9800.0          212.0            77.0          266.0            23.0     239.0
98   9900.0          166.0           123.0          223.0            66.0     194.5
99  10000.0          213.0            76.0          271.0            18.0     242.0
