    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         213.0           76.0
1    200.0         224.0           65.0
2    300.0         229.0           60.0
3    400.0         200.0           89.0
4    500.0         236.0           53.0
5    600.0         231.0           58.0
6    700.0         206.0           83.0
7    800.0         222.0           67.0
8    900.0         212.0           77.0
9   1000.0         212.0           77.0
10  1100.0         221.0           68.0
11  1200.0         216.0           73.0
12  1300.0         196.0           93.0
13  1400.0         211.0           78.0
14  1500.0         226.0           63.0
15  1600.0         206.0           83.0
16  1700.0         216.0           73.0
17  1800.0         219.0           70.0
18  1900.0         202.0           87.0
19  2000.0         207.0           82.0
20  2100.0         212.0           77.0
21  2200.0         213.0           76.0
22  2300.0         202.0           87.0
23  2400.0         188.0          101.0
