    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         171.0          118.0
1    200.0         167.0          122.0
2    300.0         178.0          111.0
3    400.0         194.0           95.0
4    500.0         195.0           94.0
5    600.0         205.0           84.0
6    700.0         227.0           62.0
7    800.0         233.0           56.0
8    900.0         232.0           57.0
9   1000.0         213.0           76.0
10  1100.0         226.0           63.0
11  1200.0         222.0           67.0
12  1300.0         229.0           60.0
13  1400.0         224.0           65.0
14  1500.0         232.0           57.0
15  1600.0         232.0           57.0
16  1700.0         229.0           60.0
17  1800.0         229.0           60.0
18  1900.0         239.0           50.0
19  2000.0         231.0           58.0
20  2100.0         233.0           56.0
21  2200.0         230.0           59.0
22  2300.0         231.0           58.0
23  2400.0         233.0           56.0
24  2500.0         230.0           59.0
