    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          232.0            57.0          244.0            45.0     238.0
1    200.0          224.0            65.0          199.0            90.0     211.5
2    300.0          181.0           108.0          189.0           100.0     185.0
3    400.0          207.0            82.0          214.0            75.0     210.5
4    500.0          200.0            89.0          243.0            46.0     221.5
5    600.0          219.0            70.0          254.0            35.0     236.5
6    700.0          215.0            74.0          261.0            28.0     238.0
7    800.0          206.0            83.0          253.0            36.0     229.5
8    900.0          210.0            79.0          255.0            34.0     232.5
9   1000.0          222.0            67.0          255.0            34.0     238.5
10  1100.0          213.0            76.0          237.0            52.0     225.0
11  1200.0          194.0            95.0          246.0            43.0     220.0
12  1300.0          184.0           105.0          240.0            49.0     212.0
13  1400.0          206.0            83.0          248.0            41.0     227.0
14  1500.0          184.0           105.0          236.0            53.0     210.0
15  1600.0          201.0            88.0          228.0            61.0     214.5
16  1700.0          196.0            93.0          229.0            60.0     212.5
17  1800.0          193.0            96.0          255.0            34.0     224.0
18  1900.0          183.0           106.0          260.0            29.0     221.5
19  2000.0          197.0            92.0          248.0            41.0     222.5
20  2100.0          182.0           107.0          252.0            37.0     217.0
21  2200.0          197.0            92.0          236.0            53.0     216.5
22  2300.0          206.0            83.0          241.0            48.0     223.5
23  2400.0          182.0           107.0          223.0            66.0     202.5
24  2500.0          200.0            89.0          249.0            40.0     224.5
25  2600.0          188.0           101.0          224.0            65.0     206.0
26  2700.0          200.0            89.0          227.0            62.0     213.5
27  2800.0          183.0           106.0          231.0            58.0     207.0
28  2900.0          203.0            86.0          241.0            48.0     222.0
29  3000.0          189.0           100.0          217.0            72.0     203.0
30  3100.0          183.0           106.0          202.0            87.0     192.5
31  3200.0          198.0            91.0          248.0            41.0     223.0
32  3300.0          191.0            98.0          241.0            48.0     216.0
33  3400.0          204.0            85.0          236.0            53.0     220.0
34  3500.0          181.0           108.0          217.0            72.0     199.0
35  3600.0          173.0           116.0          234.0            55.0     203.5
36  3700.0          200.0            89.0          242.0            47.0     221.0
37  3800.0          212.0            77.0          250.0            39.0     231.0
38  3900.0          191.0            98.0          239.0            50.0     215.0
39  4000.0          194.0            95.0          234.0            55.0     214.0
40  4100.0          191.0            98.0          236.0            53.0     213.5
41  4200.0          181.0           108.0          234.0            55.0     207.5
42  4300.0          204.0            85.0          242.0            47.0     223.0
43  4400.0          192.0            97.0          250.0            39.0     221.0
44  4500.0          196.0            93.0          248.0            41.0     222.0
45  4600.0          197.0            92.0          245.0            44.0     221.0
46  4700.0          179.0           110.0          238.0            51.0     208.5
