    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          235.0            54.0          175.0           114.0     205.0
1    200.0          210.0            79.0          243.0            46.0     226.5
2    300.0          170.0           119.0          199.0            90.0     184.5
3    400.0          192.0            97.0          231.0            58.0     211.5
4    500.0          229.0            60.0          256.0            33.0     242.5
5    600.0          231.0            58.0          255.0            34.0     243.0
6    700.0          189.0           100.0          222.0            67.0     205.5
7    800.0          197.0            92.0          234.0            55.0     215.5
8    900.0          184.0           105.0          217.0            72.0     200.5
9   1000.0          222.0            67.0          248.0            41.0     235.0
10  1100.0          199.0            90.0          236.0            53.0     217.5
11  1200.0          210.0            79.0          246.0            43.0     228.0
12  1300.0          185.0           104.0          220.0            69.0     202.5
13  1400.0          199.0            90.0          236.0            53.0     217.5
14  1500.0          199.0            90.0          237.0            52.0     218.0
15  1600.0          214.0            75.0          247.0            42.0     230.5
16  1700.0          198.0            91.0          234.0            55.0     216.0
17  1800.0          177.0           112.0          212.0            77.0     194.5
18  1900.0          190.0            99.0          224.0            65.0     207.0
19  2000.0          202.0            87.0          238.0            51.0     220.0
20  2100.0          199.0            90.0          236.0            53.0     217.5
21  2200.0          222.0            67.0          245.0            44.0     233.5
22  2300.0          198.0            91.0          233.0            56.0     215.5
23  2400.0          230.0            59.0          258.0            31.0     244.0
24  2500.0          200.0            89.0          239.0            50.0     219.5
25  2600.0          180.0           109.0          212.0            77.0     196.0
26  2700.0          198.0            91.0          232.0            57.0     215.0
27  2800.0          184.0           105.0          217.0            72.0     200.5
28  2900.0          192.0            97.0          229.0            60.0     210.5
