    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         183.0          106.0
1    200.0         172.0          117.0
2    300.0         162.0          127.0
3    400.0         140.0          149.0
4    500.0         146.0          143.0
5    600.0         163.0          126.0
6    700.0         154.0          135.0
7    800.0         155.0          134.0
8    900.0         158.0          131.0
9   1000.0         175.0          114.0
10  1100.0         167.0          122.0
11  1200.0         137.0          152.0
12  1300.0         183.0          106.0
13  1400.0         183.0          106.0
14  1500.0         117.0          172.0
15  1600.0         185.0          104.0
16  1700.0         176.0          113.0
