    epochs  dogru_tahmin1  ...  yanlis_tahmin2  ortalama
0    100.0          238.0  ...            64.0     231.5
1    200.0          227.0  ...            35.0     240.5
2    300.0          223.0  ...            33.0     239.5
3    400.0          218.0  ...            72.0     217.5
4    500.0          177.0  ...            90.0     188.0
5    600.0          211.0  ...            46.0     227.0
6    700.0          210.0  ...            58.0     220.5
7    800.0          185.0  ...           129.0     172.5
8    900.0          208.0  ...            86.0     205.5
9   1000.0          184.0  ...            96.0     188.5
10  1100.0          180.0  ...           211.0     129.0
11  1200.0          188.0  ...           183.0     147.0
12  1300.0          176.0  ...           201.0     132.0
13  1400.0          160.0  ...           189.0     130.0
14  1500.0          198.0  ...           160.0     163.5
15  1600.0          188.0  ...           228.0     124.5
16  1700.0          185.0  ...           246.0     114.0
17  1800.0          185.0  ...           207.0     133.5
18  1900.0          196.0  ...           208.0     138.5
19  2000.0          213.0  ...           162.0     170.0

[20 rows x 6 columns]
