    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         238.0           51.0
1    200.0         227.0           62.0
2    300.0         223.0           66.0
3    400.0         218.0           71.0
4    500.0         177.0          112.0
5    600.0         211.0           78.0
6    700.0         210.0           79.0
7    800.0         185.0          104.0
8    900.0         208.0           81.0
9   1000.0         184.0          105.0
10  1100.0         180.0          109.0
11  1200.0         188.0          101.0
12  1300.0         176.0          113.0
13  1400.0         160.0          129.0
14  1500.0         198.0           91.0
15  1600.0         188.0          101.0
16  1700.0         185.0          104.0
17  1800.0         185.0          104.0
18  1900.0         196.0           93.0
19  2000.0         213.0           76.0
