    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         225.0           64.0
1    200.0         254.0           35.0
2    300.0         256.0           33.0
3    400.0         217.0           72.0
4    500.0         199.0           90.0
5    600.0         243.0           46.0
6    700.0         231.0           58.0
7    800.0         160.0          129.0
8    900.0         203.0           86.0
9   1000.0         193.0           96.0
10  1100.0          78.0          211.0
11  1200.0         106.0          183.0
12  1300.0          88.0          201.0
13  1400.0         100.0          189.0
14  1500.0         129.0          160.0
15  1600.0          61.0          228.0
16  1700.0          43.0          246.0
17  1800.0          82.0          207.0
18  1900.0          81.0          208.0
19  2000.0         127.0          162.0
