    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         104.0          185.0
1    200.0         139.0          150.0
2    300.0         180.0          109.0
3    400.0         167.0          122.0
4    500.0         215.0           74.0
5    600.0         117.0          172.0
6    700.0         113.0          176.0
7    800.0         155.0          134.0
8    900.0         141.0          148.0
9   1000.0         145.0          144.0
10  1100.0         169.0          120.0
11  1200.0         148.0          141.0
12  1300.0         171.0          118.0
13  1400.0         170.0          119.0
14  1500.0         211.0           78.0
15  1600.0         147.0          142.0
16  1700.0         217.0           72.0
17  1800.0         196.0           93.0
18  1900.0         190.0           99.0
19  2000.0         140.0          149.0
