    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          54.0          270.0
1    200.0         102.0          222.0
2    300.0         129.0          195.0
3    400.0         155.0          169.0
4    500.0         144.0          180.0
5    600.0         159.0          165.0
6    700.0         130.0          194.0
7    800.0          93.0          231.0
8    900.0         137.0          187.0
9   1000.0         146.0          178.0
10  1100.0         148.0          176.0
11  1200.0         124.0          200.0
12  1300.0         126.0          198.0
13  1400.0         156.0          168.0
14  1500.0         113.0          211.0
15  1600.0         112.0          212.0
16  1700.0         132.0          192.0
17  1800.0         152.0          172.0
18  1900.0         147.0          177.0
19  2000.0         124.0          200.0
20  2100.0         117.0          207.0
