    epochs  dogru_tahmin  yanlis_tahmin
0    100.0           9.0          315.0
1    200.0           6.0          318.0
2    300.0         134.0          190.0
3    400.0         161.0          163.0
4    500.0         168.0          156.0
5    600.0         182.0          142.0
6    700.0         178.0          146.0
7    800.0         182.0          142.0
8    900.0         193.0          131.0
9   1000.0         173.0          151.0
10  1100.0         173.0          151.0
11  1200.0         176.0          148.0
12  1300.0         171.0          153.0
13  1400.0         180.0          144.0
14  1500.0         176.0          148.0
15  1600.0         161.0          163.0
16  1700.0         165.0          159.0
17  1800.0         162.0          162.0
18  1900.0         184.0          140.0
19  2000.0         158.0          166.0
20  2100.0         163.0          161.0
21  2200.0         163.0          161.0
22  2300.0         153.0          171.0
23  2400.0         155.0          169.0
24  2500.0         161.0          163.0
25  2600.0         153.0          171.0
26  2700.0         153.0          171.0
27  2800.0         146.0          178.0
28  2900.0         146.0          178.0
29  3000.0         154.0          170.0
30  3100.0         148.0          176.0
31  3200.0         152.0          172.0
32  3300.0         149.0          175.0
33  3400.0         161.0          163.0
34  3500.0         156.0          168.0
35  3600.0         160.0          164.0
36  3700.0         145.0          179.0
37  3800.0         147.0          177.0
38  3900.0         148.0          176.0
39  4000.0         154.0          170.0
40  4100.0         159.0          165.0
41  4200.0         153.0          171.0
42  4300.0         154.0          170.0
43  4400.0         157.0          167.0
44  4500.0         156.0          168.0
45  4600.0         158.0          166.0
46  4700.0         153.0          171.0
47  4800.0          94.0           22.0
